iter	Passed	Remaining
0	18	18438
1	25	12480
2	31	10488
3	38	9682
4	45	9046
5	52	8616
6	58	8336
7	66	8206
8	73	8046
9	79	7877
10	86	7734
11	92	7625
12	99	7557
13	106	7480
14	112	7399
15	119	7337
16	126	7309
17	133	7271
18	139	7213
19	146	7176
20	152	7124
21	159	7093
22	166	7053
23	172	7012
24	179	6987
25	185	6965
26	192	6938
27	199	6912
28	206	6898
29	212	6872
30	219	6848
31	225	6819
32	231	6796
33	238	6782
34	244	6754
35	251	6747
36	258	6725
37	265	6718
38	271	6694
39	278	6677
40	284	6657
41	290	6637
42	297	6620
43	303	6605
44	312	6627
45	319	6619
46	325	6609
47	332	6594
48	339	6584
49	345	6564
50	351	6547
51	358	6537
52	364	6520
53	371	6512
54	378	6496
55	384	6486
56	391	6471
57	397	6456
58	404	6446
59	410	6435
60	417	6426
61	424	6419
62	431	6414
63	438	6407
64	445	6404
65	452	6400
66	459	6401
67	466	6396
68	473	6391
69	480	6389
70	487	6380
71	494	6374
72	501	6370
73	509	6373
74	516	6365
75	522	6358
76	529	6349
77	536	6344
78	543	6336
79	550	6331
80	559	6344
81	568	6364
82	575	6360
83	583	6361
84	591	6365
85	600	6379
86	608	6383
87	616	6384
88	623	6379
89	630	6374
90	638	6374
91	645	6366
92	652	6364
93	660	6364
94	668	6364
95	676	6366
96	683	6366
97	691	6367
98	698	6359
99	705	6352
100	712	6340
101	718	6328
102	725	6319
103	732	6308
104	739	6299
105	745	6287
106	751	6275
107	758	6266
108	765	6254
109	771	6243
110	778	6235
111	786	6234
112	793	6225
113	800	6222
114	807	6211
115	814	6204
116	820	6194
117	827	6183
118	833	6172
119	840	6160
120	846	6152
121	853	6143
122	860	6135
123	867	6126
124	873	6116
125	880	6110
126	887	6101
127	893	6089
128	900	6079
129	907	6071
130	914	6064
131	921	6059
132	927	6048
133	934	6040
134	941	6031
135	947	6022
136	954	6012
137	961	6002
138	968	5996
139	975	5992
140	982	5986
141	990	5984
142	997	5979
143	1005	5974
144	1013	5977
145	1021	5974
146	1028	5969
147	1036	5964
148	1043	5960
149	1051	5961
150	1060	5960
151	1068	5961
152	1076	5960
153	1084	5955
154	1091	5951
155	1099	5947
156	1107	5944
157	1114	5941
158	1122	5938
159	1129	5930
160	1136	5922
161	1143	5914
162	1150	5905
163	1156	5895
164	1163	5885
165	1169	5876
166	1175	5865
167	1182	5855
168	1188	5845
169	1195	5835
170	1202	5828
171	1208	5819
172	1215	5809
173	1221	5799
174	1228	5789
175	1234	5780
176	1241	5771
177	1247	5761
178	1254	5751
179	1261	5745
180	1267	5736
181	1274	5727
182	1280	5718
183	1287	5709
184	1293	5699
185	1300	5691
186	1307	5683
187	1313	5673
188	1321	5670
189	1329	5668
190	1337	5664
191	1344	5658
192	1351	5650
193	1358	5643
194	1365	5636
195	1371	5627
196	1378	5619
197	1385	5610
198	1391	5602
199	1399	5596
200	1405	5588
201	1413	5585
202	1421	5582
203	1430	5580
204	1437	5574
205	1446	5574
206	1454	5570
207	1462	5567
208	1469	5562
209	1476	5555
210	1483	5548
211	1491	5544
212	1500	5542
213	1509	5543
214	1518	5542
215	1525	5538
216	1533	5532
217	1540	5525
218	1547	5519
219	1555	5515
220	1563	5509
221	1569	5501
222	1576	5491
223	1583	5484
224	1590	5477
225	1597	5470
226	1604	5462
227	1611	5455
228	1618	5447
229	1624	5439
230	1631	5430
231	1638	5423
232	1644	5414
233	1651	5406
234	1659	5401
235	1665	5393
236	1673	5387
237	1681	5382
238	1688	5375
239	1695	5368
240	1702	5361
241	1709	5353
242	1716	5346
243	1722	5338
244	1729	5329
245	1736	5321
246	1742	5311
247	1748	5302
248	1755	5294
249	1761	5285
250	1769	5279
251	1776	5273
252	1782	5264
253	1790	5257
254	1797	5250
255	1803	5242
256	1810	5234
257	1817	5225
258	1823	5217
259	1830	5211
260	1838	5204
261	1844	5195
262	1850	5186
263	1857	5178
264	1863	5169
265	1870	5160
266	1876	5152
267	1883	5143
268	1890	5136
269	1896	5127
270	1903	5120
271	1909	5111
272	1916	5103
273	1922	5095
274	1929	5086
275	1935	5078
276	1942	5070
277	1949	5062
278	1955	5054
279	1962	5045
280	1968	5037
281	1975	5029
282	1981	5020
283	1988	5013
284	1995	5005
285	2001	4997
286	2008	4989
287	2014	4980
288	2021	4972
289	2028	4966
290	2034	4957
291	2041	4949
292	2047	4941
293	2054	4934
294	2061	4927
295	2068	4919
296	2074	4911
297	2081	4903
298	2088	4896
299	2095	4888
300	2101	4880
301	2108	4873
302	2115	4865
303	2121	4857
304	2129	4851
305	2136	4845
306	2143	4838
307	2150	4832
308	2157	4825
309	2165	4819
310	2172	4812
311	2179	4805
312	2186	4799
313	2194	4794
314	2201	4788
315	2210	4784
316	2217	4778
317	2224	4771
318	2231	4764
319	2238	4757
320	2245	4750
321	2253	4744
322	2260	4738
323	2267	4731
324	2274	4723
325	2280	4714
326	2286	4706
327	2293	4699
328	2300	4692
329	2307	4684
330	2314	4677
331	2320	4669
332	2327	4661
333	2333	4653
334	2340	4646
335	2347	4638
336	2353	4630
337	2360	4622
338	2366	4614
339	2373	4606
340	2379	4599
341	2386	4592
342	2394	4585
343	2401	4579
344	2408	4572
345	2415	4565
346	2422	4559
347	2429	4551
348	2436	4545
349	2443	4538
350	2450	4530
351	2456	4522
352	2463	4515
353	2470	4508
354	2477	4501
355	2483	4492
356	2489	4484
357	2496	4477
358	2503	4469
359	2509	4461
360	2516	4454
361	2523	4446
362	2529	4438
363	2536	4431
364	2542	4423
365	2549	4415
366	2558	4412
367	2564	4404
368	2572	4398
369	2579	4392
370	2586	4385
371	2593	4378
372	2599	4370
373	2606	4362
374	2612	4354
375	2618	4346
376	2625	4338
377	2631	4330
378	2638	4323
379	2645	4316
380	2652	4309
381	2659	4303
382	2666	4296
383	2674	4290
384	2681	4283
385	2689	4277
386	2695	4269
387	2702	4263
388	2710	4256
389	2716	4249
390	2725	4244
391	2732	4237
392	2739	4231
393	2746	4224
394	2754	4218
395	2762	4213
396	2769	4206
397	2776	4199
398	2783	4193
399	2790	4186
400	2798	4180
401	2805	4172
402	2811	4165
403	2818	4157
404	2824	4149
405	2830	4141
406	2837	4133
407	2843	4126
408	2850	4118
409	2856	4110
410	2862	4102
411	2869	4095
412	2875	4087
413	2882	4079
414	2888	4071
415	2894	4063
416	2901	4056
417	2908	4049
418	2914	4041
419	2921	4034
420	2927	4026
421	2934	4019
422	2941	4011
423	2947	4003
424	2953	3996
425	2960	3988
426	2966	3981
427	2973	3973
428	2979	3966
429	2986	3958
430	2992	3950
431	2999	3943
432	3006	3936
433	3013	3929
434	3019	3922
435	3026	3914
436	3033	3908
437	3040	3901
438	3047	3894
439	3055	3888
440	3062	3881
441	3068	3874
442	3075	3866
443	3081	3859
444	3088	3851
445	3094	3844
446	3100	3836
447	3107	3828
448	3113	3820
449	3120	3813
450	3126	3805
451	3133	3798
452	3139	3791
453	3146	3784
454	3152	3776
455	3159	3768
456	3166	3762
457	3172	3754
458	3178	3746
459	3185	3739
460	3191	3731
461	3198	3724
462	3204	3717
463	3211	3709
464	3217	3702
465	3225	3695
466	3232	3689
467	3239	3682
468	3246	3676
469	3254	3669
470	3261	3663
471	3269	3656
472	3275	3649
473	3282	3643
474	3289	3635
475	3296	3629
476	3304	3622
477	3311	3616
478	3318	3608
479	3324	3601
480	3331	3594
481	3338	3587
482	3345	3580
483	3351	3573
484	3358	3565
485	3364	3558
486	3370	3550
487	3377	3543
488	3383	3536
489	3390	3528
490	3396	3521
491	3403	3513
492	3410	3506
493	3416	3499
494	3423	3492
495	3430	3485
496	3438	3480
497	3445	3473
498	3452	3466
499	3459	3459
500	3465	3451
501	3473	3445
502	3480	3438
503	3486	3431
504	3493	3423
505	3500	3417
506	3507	3410
507	3513	3403
508	3520	3396
509	3527	3388
510	3536	3383
511	3543	3377
512	3550	3370
513	3557	3364
514	3565	3358
515	3573	3351
516	3581	3345
517	3588	3338
518	3594	3331
519	3601	3324
520	3607	3317
521	3614	3309
522	3620	3302
523	3627	3295
524	3633	3287
525	3640	3280
526	3647	3273
527	3653	3266
528	3660	3258
529	3667	3251
530	3673	3245
531	3680	3237
532	3687	3230
533	3694	3223
534	3700	3216
535	3707	3209
536	3713	3201
537	3719	3194
538	3726	3187
539	3734	3181
540	3741	3174
541	3749	3168
542	3757	3162
543	3763	3154
544	3770	3148
545	3778	3141
546	3785	3135
547	3792	3128
548	3799	3121
549	3806	3114
550	3813	3107
551	3819	3099
552	3825	3092
553	3832	3085
554	3838	3077
555	3845	3070
556	3851	3063
557	3858	3056
558	3865	3049
559	3872	3042
560	3879	3035
561	3886	3028
562	3892	3021
563	3899	3014
564	3906	3007
565	3913	3001
566	3920	2994
567	3927	2986
568	3934	2980
569	3941	2973
570	3947	2966
571	3954	2958
572	3960	2951
573	3967	2944
574	3973	2937
575	3980	2930
576	3987	2923
577	3993	2915
578	4000	2908
579	4006	2901
580	4013	2894
581	4019	2887
582	4026	2879
583	4032	2872
584	4041	2866
585	4049	2860
586	4055	2853
587	4062	2846
588	4069	2839
589	4075	2832
590	4082	2825
591	4088	2817
592	4095	2810
593	4101	2803
594	4108	2796
595	4115	2789
596	4121	2782
597	4128	2775
598	4134	2768
599	4141	2761
600	4147	2753
601	4154	2746
602	4160	2739
603	4167	2732
604	4173	2725
605	4180	2718
606	4187	2710
607	4193	2703
608	4200	2696
609	4206	2689
610	4213	2682
611	4219	2675
612	4226	2668
613	4233	2661
614	4239	2653
615	4245	2646
616	4252	2639
617	4259	2632
618	4265	2625
619	4272	2618
620	4278	2611
621	4285	2604
622	4292	2597
623	4299	2590
624	4305	2583
625	4312	2576
626	4319	2569
627	4325	2562
628	4332	2555
629	4339	2548
630	4345	2541
631	4352	2534
632	4359	2527
633	4366	2520
634	4372	2513
635	4379	2506
636	4386	2499
637	4393	2492
638	4400	2486
639	4407	2479
640	4414	2472
641	4422	2466
642	4429	2459
643	4436	2452
644	4443	2445
645	4451	2439
646	4458	2432
647	4466	2426
648	4473	2419
649	4481	2412
650	4488	2406
651	4495	2399
652	4502	2392
653	4510	2386
654	4517	2379
655	4525	2372
656	4532	2366
657	4540	2360
658	4549	2353
659	4557	2347
660	4565	2341
661	4573	2335
662	4581	2328
663	4588	2322
664	4595	2315
665	4603	2308
666	4611	2302
667	4620	2296
668	4628	2290
669	4637	2284
670	4646	2278
671	4655	2272
672	4664	2266
673	4672	2259
674	4680	2253
675	4688	2246
676	4696	2240
677	4703	2233
678	4712	2227
679	4719	2221
680	4727	2214
681	4736	2208
682	4744	2202
683	4752	2195
684	4760	2189
685	4767	2182
686	4775	2175
687	4783	2169
688	4790	2162
689	4798	2155
690	4806	2149
691	4814	2142
692	4821	2136
693	4828	2129
694	4836	2122
695	4845	2116
696	4852	2109
697	4860	2103
698	4869	2096
699	4878	2090
700	4887	2084
701	4897	2078
702	4906	2072
703	4914	2066
704	4924	2060
705	4932	2053
706	4940	2047
707	4949	2041
708	4957	2034
709	4965	2027
710	4973	2021
711	4981	2015
712	4989	2008
713	4997	2001
714	5006	1995
715	5014	1989
716	5022	1982
717	5030	1975
718	5038	1969
719	5047	1962
720	5054	1955
721	5062	1949
722	5069	1942
723	5077	1935
724	5084	1928
725	5092	1921
726	5099	1915
727	5107	1908
728	5114	1901
729	5120	1894
730	5128	1887
731	5135	1880
732	5142	1873
733	5149	1866
734	5156	1859
735	5163	1852
736	5170	1845
737	5177	1837
738	5183	1830
739	5190	1823
740	5197	1816
741	5205	1810
742	5212	1802
743	5219	1795
744	5226	1788
745	5233	1782
746	5241	1775
747	5250	1769
748	5261	1763
749	5271	1757
750	5279	1750
751	5288	1744
752	5296	1737
753	5304	1730
754	5312	1723
755	5321	1717
756	5328	1710
757	5336	1703
758	5345	1697
759	5353	1690
760	5362	1684
761	5371	1677
762	5379	1670
763	5387	1664
764	5396	1657
