Feature,Value
Intercept,606.332795392157
Coefficient_1,-38.49750768984092
Coefficient_2,1451.4729528542944
Coefficient_3,-61.360800931959204
Coefficient_4,-6.8055734584327086
Coefficient_5,84.97173445114112
Coefficient_6,41.48874614905711
Coefficient_7,-28.559391936167458
Coefficient_8,-8.486751339131395
Coefficient_9,-1.652968529975169
Coefficient_10,-76.94869935302731
Coefficient_11,-61.235776776007924
Coefficient_12,82.17032067520785
Coefficient_13,-14.934329565294831
Coefficient_14,229.54373026507332
Coefficient_15,19.631220707316174
Coefficient_16,129.76006924835286
Coefficient_17,57.72946515642337
Coefficient_18,-66.14453147745395
Coefficient_19,-46.47086883658872
Coefficient_20,-44.99775533677871
Coefficient_21,-4.630847567994266
Coefficient_22,-114.21725082583424
Coefficient_23,24.50430155714482
