Feature,Value
Intercept,181.09129901960785
Coefficient_1,539.4086104319535
Coefficient_2,-17.47386835746117
Coefficient_3,4.546790169114112
Coefficient_4,-7.634065786357803
Coefficient_5,-5.213058771854241
Coefficient_6,-3.6997239906443626
Coefficient_7,9.203416057693394
Coefficient_8,10.20596926515621
Coefficient_9,6.902285894134884
Coefficient_10,-8.793290827995145
Coefficient_11,14.21312023955738
Coefficient_12,-5.025127590446921
Coefficient_13,0.3977974438801035
Coefficient_14,7.487219874665604
Coefficient_15,-15.049389879455255
Coefficient_16,-6.435323529898726
