Customer_Age,Gender,Dependent,Education,Marital,Income,KCategory,onBook,Relationship,Inactive,ContactNum,CLimit,Revolving,Open,Amt_41,TransAmt,TransCt,Ct_41,Utilization,Importance,MustHave,Group,Essential,DropLevel,Class
41,F,2,Unknown,Married,Unknown,Blue,21,2,3,1,12682.546346163752,774,14746.0,1.3314798674358166,1146.7261493814603,127,0.628,0.06374722567384764,0.18712395512918834,91,4,9.321511835679566,2,1
55,M,3,Post-Graduate,Unknown,$120K +,Blue,40,3,1,4,12663.844817425736,779,14326.0,1.3356053681772198,1143.7201660039989,67,0.914,0.06438248365906572,0.8667456625352447,31,0,9.496893090194863,1,1
53,F,2,Graduate,Married,$40K - $60K,Blue,42,3,5,1,12648.475910600593,779,1375.0,1.3344364619156628,1145.281665096337,89,0.679,0.05763177148012639,0.4800016797272668,75,4,7.120416970368812,2,1
40,M,3,Uneducated,Married,$80K - $120K,Blue,34,4,3,2,12698.61582513617,782,12797.0,1.331722887980978,1144.2272713037023,111,0.85,0.06562384350660176,0.999413083789799,30,2,9.103962891247273,9,1
43,F,4,Unknown,Single,Less than $40K,Blue,33,3,3,1,12713.864666800859,774,308.0,1.3365432916019604,1145.6887228234796,69,0.568,0.06394363168144472,0.8207987475773552,19,2,1.6200125577199154,6,1
40,F,3,Graduate,Married,Less than $40K,Blue,29,6,2,4,12670.439533047276,776,1021.0,1.334955658641354,1147.7677397650205,44,0.517,0.06016899438792375,0.6629406737630078,68,1,6.8593165057396295,5,2
44,F,3,Doctorate,Married,Less than $40K,Blue,36,4,3,0,12691.5136897366,780,711.0,1.3356116643162106,1139.9303764577417,63,0.8,0.06301386986298733,0.9235743959441961,7,2,4.946421547188833,1,1
42,M,3,Graduate,Married,$60K - $80K,Blue,29,3,3,1,12671.626458442892,779,9777.0,1.3379180474022203,1142.7793216669186,87,0.611,0.0614019428126976,0.6255535794253263,79,4,3.144165061195693,1,1
42,F,2,Graduate,Single,Less than $40K,Blue,32,2,2,2,12689.230465785131,773,806.0,1.3322821265168903,1147.762419100679,71,0.69,0.05995570501422174,0.22340017057676875,92,1,5.96940512129117,3,1
59,F,2,Uneducated,Married,Less than $40K,Blue,36,6,3,2,12698.065028071229,777,3850.0,1.3326808583836978,1140.0408366002516,117,0.918,0.06263644963008394,0.3078587427216284,45,5,6.807774361780518,2,1
40,M,3,High School,Married,$40K - $60K,Blue,33,4,3,3,12677.421522352279,777,5883.0,1.3339676360281536,1144.6038754065542,11,0.833,0.05655985569214736,0.49041885811702457,44,5,5.01069615630482,5,1
57,M,2,Unknown,Single,$80K - $120K,Blue,38,6,1,3,12709.2589449703,778,20728.0,1.3366389455713834,1140.9243510013825,36,0.636,0.06273752053752527,0.4948582422922748,19,2,9.711091379094709,6,1
45,M,2,Unknown,Single,$40K - $60K,Blue,40,6,4,3,12729.108492388123,774,7037.0,1.3366465386734099,1147.5133343769535,71,0.69,0.05738169171572569,0.309603190841784,19,2,0.5059304615635363,3,1
65,M,1,Unknown,Single,$40K - $60K,Blue,56,6,2,4,12664.129427609172,781,12046.0,1.3378372752372307,1145.2692296354783,54,0.862,0.05926160573840822,0.7493147376567737,83,1,0.775615157416395,10,1
48,F,2,Unknown,Single,Unknown,Blue,38,4,4,3,12650.257529243465,775,1417.0,1.3373824019405132,1141.031903423858,62,0.879,0.05850940450555448,0.8301198593005954,68,2,6.011856259176244,10,1
44,F,3,Doctorate,Married,Less than $40K,Blue,38,6,1,3,12683.707041001539,776,7222.0,1.3385624817970219,1148.6872876625205,18,0.5,0.059979274833545114,0.7724789935324878,86,0,9.97998925047536,4,2
50,M,4,Graduate,Married,$40K - $60K,Blue,38,6,3,3,12736.96446199341,773,1692.0,1.3328292212838013,1144.8490381785498,66,0.941,0.060031984820081395,0.2980080894844339,46,1,8.689436565115965,1,1
47,F,3,Unknown,Married,Less than $40K,Blue,37,2,2,2,12726.436414558197,775,526.0,1.330951216457159,1147.386173341061,74,0.762,0.06260311636517157,0.18923530777161268,30,4,1.6104496838062976,2,1
43,M,1,Post-Graduate,Unknown,$60K - $80K,Blue,37,4,3,4,12645.524925008081,774,2984.0,1.3347371195177211,1148.5232438659384,75,0.667,0.06078811286308472,0.2821807345559888,76,3,5.9867129327604385,0,1
44,F,3,Graduate,Married,Unknown,Blue,31,5,2,0,12739.043397242895,773,22883.0,1.3327114524025618,1139.9530828240156,38,0.727,0.0595374468811687,0.454126963602821,25,5,6.531746433996255,5,1
54,M,1,Uneducated,Married,$80K - $120K,Blue,43,3,1,4,12703.894959804444,782,24183.0,1.3328652250996698,1144.1104331716656,48,0.371,0.06260750470135337,0.3421929186996503,16,1,1.504227201101368,5,1
27,F,1,Post-Graduate,Married,Less than $40K,Blue,13,3,2,2,12717.360486984326,775,448.3,1.332840474506702,1142.2776876526198,73,1.147,0.06524224298236556,0.8043530059338492,44,4,4.631082717548649,8,1
35,F,3,Graduate,Single,Less than $40K,Blue,23,6,3,1,12666.744456504888,779,841.0,1.3356227781407888,1143.1472437320351,79,0.927,0.05717568710407926,0.7400176238676541,45,3,1.2844615199279852,1,1
49,M,1,High School,Married,$60K - $80K,Blue,36,2,3,2,12683.412863788013,775,1131.0,1.332216816924319,1146.9325993365587,83,0.766,0.06530687136532616,0.4315257971242915,7,4,0.43911022607394545,4,1
52,F,2,High School,Married,Less than $40K,Blue,41,4,2,2,12708.880161506682,775,3206.0,1.3383436041494237,1139.070399661435,62,0.59,0.06459545817269619,0.12083859091652727,3,0,3.0455896279843673,8,1
57,F,0,High School,Married,$40K - $60K,Blue,45,3,2,2,12647.720937305143,773,1433.0,1.3366624432636327,1139.868119027714,45,0.8,0.05781320043465575,0.8264089203234568,21,4,6.470869766351538,9,1
48,M,4,Unknown,Married,$80K - $120K,Blue,41,2,3,6,12649.563009311441,778,3449.0,1.3305891507598173,1144.9503910976546,35,0.346,0.05681174135330095,0.9840757043729345,27,3,3.1182352703615654,4,2
40,M,3,High School,Married,$60K - $80K,Blue,28,2,3,1,12677.409202870771,782,9111.0,1.3304934580310532,1142.7321776147182,113,0.766,0.059512170185019725,0.8856401328143251,7,3,0.3907631639114617,8,1
46,F,3,College,Married,Less than $40K,Blue,40,6,4,2,12645.355873181023,776,1438.3,1.331580679069009,1146.314932056174,88,0.833,0.061932126958566744,0.8966030469836872,74,5,9.368346298543859,1,1
40,M,4,Graduate,Single,$80K - $120K,Silver,22,3,1,3,12720.811161025349,779,34516.0,1.3309066720488048,1140.1881110107615,26,0.3,0.05681684080681649,0.6934234324129069,96,1,7.918890061975873,3,2
47,F,4,Graduate,Single,$40K - $60K,Blue,37,4,1,1,12651.358563222693,779,735.3,1.3345432022704,1141.3851107871599,80,0.951,0.0632919566449503,0.16225530268229704,96,0,6.166725937321694,7,1
40,F,3,Graduate,Single,Less than $40K,Blue,27,5,3,4,12737.621203560739,777,5763.0,1.3329382125395666,1142.816897112335,70,0.842,0.056228595535610944,0.05463598539536407,46,1,8.63929828613258,1,1
48,F,3,College,Divorced,Less than $40K,Blue,36,4,3,3,12731.710763700255,773,490.0,1.3305699180016402,1143.4152277513795,33,0.269,0.06535215593291568,0.37752579713359824,52,4,9.07738123172279,2,1
51,F,3,Unknown,Single,Less than $40K,Blue,39,5,1,3,12684.051765994063,772,2990.0,1.3398045186190342,1145.5367490633523,76,0.767,0.0658162779018748,0.21806478622830805,24,2,0.4313206666419833,3,1
49,F,2,Graduate,Single,Less than $40K,Blue,31,5,1,2,12698.378616057878,779,4505.0,1.3332708579432044,1147.8071645461873,27,0.588,0.0627642770418489,0.2584871723902564,61,4,3.6222648443078076,7,2
